Job;Company;City;Work Type;Work Model;Salary;Experience Level;Skills
Stagiaire Chef de Projets;Optimum Marketing Group;Prefecture of Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Associate;Big-Picture Thinking, Esprit, Implementation Plans, Sensitivity, Service Focused, Synthesizing, ?????????, ???????, ???????? ???? ???? ???? ????? ??????, and ???? ?????
Analyste des d�fauts EE;SEGULA Technologies;Mechouar, Casablanca-Settat, Morocco (Remote);Full-time;Remote;;Associate;????? ?? ??? ?????
Consultant Junior IT M&A � Tech&IT Due Diligence et PMI F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Part-time;Hybrid;;Associate;Scrum, ????????? ???????, and ????? ???????
Presales Engineer;Evernex;Casablanca Metropolitan Area (On-site);Full-time;On-site;;Mid-Senior level;Computer Programming, GxP, Network Technologies, Sensitivity, Virtual Routing and Forwarding (VRF), ??????????, ???????, ??????? ??? ?????, ????? ?????????, and ?????? ????? ?????????
Scrum Master;SII SERVICES MAROC;Prefecture of Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Associate;JSON, Java, Java Enterprise Edition, SQL, TIBCO, TIBCO BusinessWorks, TIBCO EMS, XML, XML Schema Definition (XSD), and ???????? ?????? ??? ?????? ??????
Ing�nieur DevOps;Devoteam;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Full-time;On-site;;Associate;Business Case Development, Container Orchestration, IT architectures, IaaS, Service Mesh, Skill Development, ????? ?????????, ???????, ??????? ???????, and ?????????
Manager API (MuleSoft) F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Entry level;Coordinating Skills, Data Streaming, Synthesizing, ??????? ?????? ????, ??????? ??? ?????, ?????? ????????, ????????, ?????, ??? ???????, and ?????? ??????? ??? ???????
Consultant Expert Tibco;Inetum;Prefecture of Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Associate;Zoho, ????? ????? ?????????, ???????, ?????????, ????????????, ???????, ???????, ???????, ???????? ?????????, and ?????? ???
Senior Architect;BCG Platinion;Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Associate;Digital Accessibility, Investigator Brochures, SQL, ??????????, ????????? ?????? ?????, ??????? ????????, ???????? ?????????, ????? ????????, ????? ????????, and ????? ????????? ?????????
Architecte SI Exp�riment� F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Mid-Senior level;Hybrid;;Entry level;Costings, Hyperion Planning, PL/SQL, Seeing the Bigger Picture, ??????? ?????? ???????, ??????? ??????? ???????, ???? ?????? ??????, ????? ?????? ??????, ?????? ???????, and ?????? ??????? ??? ???????
